legacy id,legacy student id,program name,program legal description,expire date,contract num tokens,deferral rate,deferral rate months,deferral distribution strategy,contract num payments,total amount,contract start date,contract duration days
1100179730,11001797,CLASS-BASED,LEGACY,        ,0,,,,0,0,19920101,9999
1100263723,11002637,CLASS-BASED,LEGACY,        ,0,,,,1,0,20000223,9999
1100269921,11005702;11005703;11005704;11005712,CLASS-BASED,LEGACY,        ,0,,,,1,0,20080411,9999
1100282621,11002826,CLASS-BASED,LEGACY,        ,0,,,,1,0,20031017,9999
1100288912,11002889,CLASS-BASED,LEGACY,        ,0,,,,18,3830,19971003,9999
1100301621,11003016,CLASS-BASED,LEGACY,        ,103,,,,1,2720,19980609,9999
1100311921,11003119,CLASS-BASED,LEGACY,        ,0,,,,1,0,20000223,9999
1100325721,11003257,CLASS-BASED,LEGACY,        ,0,,,,1,0,20000223,9999
1100346322,11003463,CLASS-BASED,LEGACY,        ,0,,,,1,3020,20020827,9999
1100354123,11003479;11004752;11007364,CLASS-BASED,LEGACY,        ,265,,,,1,0,20050207,9999
1100371822,11003576,CLASS-BASED,LEGACY,        ,112,,,,1,6500,20040924,9999
1100380461,11003804,CONV 1YR,LEGACY,20150403,,.75,10,accelerated,1,1990,20130617,655
1100380528,11003805,CONV PLUS,LEGACY,20150120,,.775,17,accelerated,1,3164,20121220,761
1100384111,11003841,CLASS-BASED,LEGACY,        ,0,,,,1,0,20010503,9999
1100389729,11004463;11004677,CLASS-BASED,LEGACY,        ,0,,,,1,3950,20080328,9999
1100406925,11003991,CLASS-BASED,LEGACY,        ,0,,,,1,3800,20060701,9999
1100417926,11004179,CONV 1YR,LEGACY,20150310,,.75,10,accelerated,2,1990,20130405,704
1100419627,11003462;11004195,CLASS-BASED,LEGACY,        ,0,,,,1,18000,20070707,9999
1100429917,11004299,CONV 1YR,LEGACY,20140614,,.75,10,accelerated,1,1990,20121215,547
1100452325,11004523,CLASS-BASED,LEGACY,        ,0,,,,1,3325,20081218,9999
1100454729,11004547,CONV 1YR,LEGACY,20150513,,.75,10,accelerated,1,2388,20110726,1387
1100455224,11007358,CLASS-BASED,LEGACY,        ,170,,,,15,4550,20090630,9999
1100461423,11004614,CLASS-BASED,LEGACY,        ,177,,,,15,4550,20071220,9999
1100471416,11004714,CONV PLUS,LEGACY,20141121,,.775,17,accelerated,1,2981,20121114,738
1100480013,11004800,CLASS-BASED,LEGACY,        ,0,,,,1,0,20050406,9999
1100481625,11004960;11004961,CLASS-BASED,LEGACY,        ,57,,,,1,11200,20061121,9999
1100487720,11004877,CLASS-BASED,LEGACY,        ,106,,,,1,0,20050707,9999
1100488323,11004883,CLASS-BASED,LEGACY,        ,0,,,,1,3950,20090629,9999
1100491627,11004916,CONV PLUS,LEGACY,20141121,,.775,17,accelerated,1,2425,20121114,738
1100495226,11005167,CLASS-BASED,LEGACY,        ,152,,,,45,4530,20100506,9999
1100498625,11004987;11005016;11005033,CLASS-BASED,LEGACY,        ,184,,,,1,3950,20080529,9999
1100506523,11005065,CLASS-BASED,LEGACY,        ,193,,,,15,4550,20080119,9999
1100514521,11005145,CLASS-BASED,LEGACY,        ,0,,,,1,0,20101104,9999
1100520621,11005206,CLASS-BASED,LEGACY,        ,188,,,,1,0,20040506,9999
1100527624,11005268;11005269;11005549;11007329,CLASS-BASED,LEGACY,        ,0,,,,1,0,20071103,9999
1100536228,11005362,CONV 1YR,LEGACY,20150420,,,,,12,2388,20130420,730
1100544521,11005427;11005628;11006682,CLASS-BASED,LEGACY,        ,0,,,,1,0,20110325,9999
1100545629,11005456,CONV PLUS,LEGACY,20141116,,.775,17,accelerated,1,4302,20121003,775
1100546111,11005461,CONV 1YR,LEGACY,20150420,,,,,12,1908,20130420,730
1100548621,11005486,CONV 1YR,LEGACY,20150420,,,,,12,1007,20130420,730
1100550026,11005500,CONV 1YR,LEGACY,20141226,,.75,10,accelerated,2,2390,20131218,373
1100552211,11005522,CLASS-BASED,LEGACY,        ,54,,,,1,0,20070926,9999
1100553525,11006342,CLASS-BASED,LEGACY,        ,0,,,,1,0,20100518,9999
1100553929,11005539,CONV PRO,LEGACY,20160111,,.75,23,accelerated,1,3506,20121211,1126
1100557022,11005570,CONV PLUS,LEGACY,20141016,,.775,17,accelerated,1,3576,20121003,744
1100562923,11005630;11007309,CLASS-BASED,LEGACY,        ,118,,,,15,3963,20090206,9999
1100565725,11005657,CONV 1YR,LEGACY,20140506,,,,,12,2868,20130401,400
1100573212,11005731,CLASS-BASED,LEGACY,        ,0,,,,1,0,20080502,9999
1100574921,11005749,CLASS-BASED,LEGACY,        ,0,,,,1,0,20080603,9999
1100575122,11005751,CONV 1YR,LEGACY,20141009,,,,,12,2868,20131008,366
1100579324,11005793,CONV PRO,LEGACY,20151228,,.75,23,accelerated,1,3525,20121228,1096
1100579526,11005795,CONV PRO,LEGACY,20160917,,.75,23,accelerated,12,5736,20130909,1103
1100583624,11005836,CONV PRO,LEGACY,20170104,,.75,23,accelerated,12,4780,20131230,1101
1100584321,11005843,CONV 1YR,LEGACY,20150513,,.75,10,accelerated,3,1890,20130513,730
1100584425,11005844,CONV 1YR,LEGACY,20150513,,.75,10,accelerated,3,1590,20130513,730
1100585021,11005850,CONV 1YR,LEGACY,20140820,,.75,10,accelerated,3,1910,20130620,426
1100586722,11005867,CONV PLUS,LEGACY,20141016,,.775,17,accelerated,1,2616,20121003,744
1100586822,11005868,CONV PLUS,LEGACY,20141016,,.775,17,accelerated,1,2616,20121003,744
1100587322,11005873,CONV 1YR,LEGACY,20140926,,,,,12,2190,20130909,382
1100588125,11005880,CLASS-BASED,LEGACY,        ,151,,,,1,1875,20091007,9999
1100588928,11005889,CONV 1YR,LEGACY,20140927,,,,,12,2292,20130914,378
1100589323,11005893,CONV PRO,LEGACY,20160130,,.75,23,accelerated,1,5004,20121211,1145
1100589824,11005898,CONV 1YR,LEGACY,20140321,,,,,12,2868,20130121,424
1100590221,11005902,CLASS-BASED,LEGACY,        ,65,,,,6,1390,20081113,9999
1100590751,11003751,CLASS-BASED,LEGACY,        ,0,,,,1,0,20081114,9999
1100591824,11005978,CLASS-BASED,LEGACY,        ,341,,,,26,8884,20090930,9999
1100593623,11005936,CONV PRO,LEGACY,20150925,,.75,23,accelerated,1,5736,20100918,1833
1100594324,11005943,CONV 1YR,LEGACY,20141125,,.75,10,accelerated,1,1990,20121222,704
1100597721,11005977,CLASS-BASED,LEGACY,        ,76,,,,19,4600,20090219,9999
1100598325,11005983,CONV PRO,LEGACY,20150925,,.75,23,accelerated,1,5004,20100918,1833
1100598422,11005984,CONV 1YR,LEGACY,20140927,,,,,12,2292,20130914,378
1100600724,11005968,CLASS-BASED,LEGACY,        ,0,,,,1,11200,20100514,9999
1100602525,11006025,CONV 1YR,LEGACY,20140214,,,,,12,2868,20121212,429
1100605125,11006051,CLASS-BASED,LEGACY,        ,0,,,,15,5732,20090718,9999
1100606015,11006060,CONV PRO,LEGACY,20151019,,.75,23,accelerated,1,2976,20121019,1096
1100606323,11006062,CLASS-BASED,LEGACY,        ,236,,,,14,6148,20090522,9999
1100607015,11006070,CONV 1YR,LEGACY,20160723,,.75,10,accelerated,1,1990,20130723,1095
1100607723,11006077,CONV 1YR,LEGACY,20141205,,.75,10,accelerated,1,2388,20101021,1506
1100610721,11006107,CONV 1YR,LEGACY,20140614,,.75,10,accelerated,1,1580,20121215,547
1100611024,11006110,CONV 1YR,LEGACY,20140316,,,,,12,2868,20130307,374
1100611121,11006111,CLASS-BASED,LEGACY,        ,0,,,,6,1490,20090804,9999
1100612912,11006129,CONV 1YR,LEGACY,20140605,,,,,12,2868,20130325,437
1100613522,11006135,CONV 1YR,LEGACY,20141226,,.75,10,accelerated,2,1910,20131218,373
1100615323,11006153,CONV 1YR,LEGACY,20120929,,,,,12,2388,20101207,661
1100618016,11006180,CONV PRO,LEGACY,20160115,,.75,23,accelerated,1,5736,20121215,1126
1100619926,11006199,CONV PRO,LEGACY,20161123,,.75,23,accelerated,1,1388,20131123,1095
1100620411,11006204,CLASS-BASED,LEGACY,        ,0,,,,1,0,20091218,9999
1100625223,11006252,CONV PRO,LEGACY,20161123,,.75,23,accelerated,1,1001,20131123,1095
