primary_student_id,student_id,date_added,ordinal_position
11001797,11001797,19920101,1
11002637,11002637,19960327,1
11002699,11002699,19960212,1
11002826,11002826,19970109,1
11002889,11002889,19970328,1
11003016,11003016,19971020,1
11003119,11003119,19980303,1
11003257,11003257,19981022,1
11004196,11003462,19990816,1
11003463,11003463,19990816,1
11003541,11003479,19990903,1
11003541,11003541,19991203,1
11003718,11003576,20000122,1
11003718,11003718,20000825,1
11005907,11003751,19970613,1
11003804,11003804,19960415,1
11003805,11003805,20010315,1
11003841,11003841,20001113,1
11003897,11003897,20010731,1
11004069,11003991,20020110,1
11004069,11004069,20020625,1
11004179,11004179,20021120,1
11004196,11004195,20021223,1
11004196,11004196,20021223,1
11004272,11004272,20030304,1
11004299,11004299,20020819,1
11003897,11004463,20040217,1
11004523,11004523,20040602,1
11004547,11004547,20040628,1
11004552,11004552,20040712,1
11004614,11004614,20040831,1
11003897,11004677,20041005,1
11006285,11004690,20041119,1
11004714,11004714,20031211,1
11003541,11004752,20050207,1
11004800,11004800,20031008,1
11004816,11004816,20050426,1
11004877,11004877,20050707,1
11004883,11004883,20050718,1
11004916,11004916,20050912,2
11004952,11004952,20051006,1
11004816,11004960,20051018,1
11004816,11004961,20051018,1
11004986,11004986,20051104,1
11004986,11004987,20051104,1
11004986,11005016,20051206,1
11004986,11005033,20051223,1
11005065,11005065,20060131,1
11005145,11005145,20060516,1
11005162,11005162,20051230,1
11004952,11005167,20051023,1
11005206,11005206,19880204,1
11005276,11005268,20060926,1
11005276,11005269,20060926,1
11005276,11005276,20061002,1
11005362,11005362,20070219,1
11005445,11005427,20000304,1
11005445,11005445,19990503,1
11005456,11005456,20070702,1
11005461,11005461,20070217,2
11005486,11005486,20071017,3
11005500,11005500,20070827,1
11005522,11005522,20070110,1
11005535,11005535,20071019,1
11005539,11005539,20071024,1
11005276,11005549,20071103,1
11005555,11005555,20071112,1
11005570,11005570,20071217,2
11005589,11005589,20080105,1
11005445,11005628,20070203,1
11005629,11005629,20080129,1
11005629,11005630,20080129,1
11005657,11005657,20080226,1
11002699,11005702,20080405,1
11002699,11005703,20080405,1
11002699,11005704,20080405,1
11002699,11005712,20080410,1
11005732,11005731,20070329,1
11005732,11005732,20070329,1
11005749,11005749,20080519,1
11005751,11005751,20080521,1
11005793,11005793,20080625,1
11005795,11005795,20080625,1
11005836,11005836,20080730,1
11005843,11005843,20080813,1
11005844,11005844,20080813,2
11006258,11005850,20080816,2
11005857,11005857,20080827,1
11005867,11005867,20080910,3
11005868,11005868,20080904,3
11005795,11005873,20080923,2
11005881,11005880,20081009,1
11005881,11005881,20081009,1
11005898,11005889,20081013,2
11005893,11005893,20081014,2
11005898,11005898,20081024,1
11005902,11005902,20081029,1
11005907,11005907,19960328,1
11005918,11005918,20081125,1
11005936,11005936,20081208,1
11005943,11005943,20081216,1
11006007,11005968,20090113,1
11005977,11005977,20090119,1
11005918,11005978,20090121,1
11005983,11005983,20090124,2
11005898,11005984,20090216,2
11006007,11006007,20090213,1
11006025,11006025,20090319,1
11006030,11006030,20090326,1
11006051,11006051,20021125,1
11006060,11006060,20080922,1
11006063,11006062,20090506,1
11006063,11006063,20090506,1
11006070,11006070,20090314,1
11006077,11006077,20090527,1
