class_curriculum_id,fk_class_id,fk_class_type_id,value
1,1,1,1
2,2,1,2
3,3,2,1
4,4,2,2
5,5,1,1
6,5,2,1
7,6,1,1
8,6,2,1
9,7,1,1
10,8,1,1
11,9,4,1
12,10,3,1
13,11,2,1
14,12,1,1
15,13,3,1
16,14,3,1
17,15,3,1
18,16,1,1
19,17,1,1
20,18,1,1
21,19,2,1
22,20,2,1
23,21,2,1
24,22,2,1
25,23,2,1
26,24,1,1
27,24,2,1
28,25,1,1
29,26,1,3
30,26,2,2
31,27,1,3
32,27,2,1
33,28,1,2
34,29,1,1
35,30,2,1
36,31,3,1
,,,
,We needed this table to allow a single class to count for more than one class_type - note the last few records where you have multiple instances of fk_class_id,,
