contract_clause_id;fk_org_id;clause_name;clause_content
1;1;INTRO 1;"This Agreement is made between the above named corporation d/b/a Tiger Schulmann's Mixed Martial Arts Center (""TSMMA"") and"
2;1;INTRO 2;"or the undersigned legal guardian if he/she is a minor (""Student"")."
3;1;CUBS PROGRAM INTRO;  In consideration of the program to be provided by TSMMA as described below, Student agrees to pay TSMMA tuition as follows: 
4;1;GYM ONLY PROGRAM INTRO;  In consideration of the use of gym facilities provided by TSMMA as described below, Student agrees to pay TSMMA tuition as follows: 
5;1;DEFAULT PROGRAM INTRO;  In consideration of the martial arts instruction to be provided by TSMMA as described below, Student agrees to pay TSMMA tuition as follows: 
6;1;ADVANCE PAYMENT 1;Student Acknowledges that he/she has been granted a 10% discount by choosing the advance payment option.  Student agrees that if the designated sum is not paid by 
7;1;ADVANCE PAYMENT 2; the discount shall be removed and the student shall pay the balance of the full contract price of $
8;1;ADVANCE PAYMENT 3; in eight consecutive monthly installments.  
9;1;LATE CHARGE 1;Student agrees to pay a late charge of 
10;1;LATE CHARGE 2; for each monthly payment not paid within 
11;1;LATE CHARGE 3; days of its due date.
12;1;DEFAULT 1;Student acknowledges that pre-authorized credit card charges or automatic bank account debits are the only methods by which monthly payments can be paid.  Student hereby expressly authorizes Student's bank/credit card co. to automatically make these payments on his/her behalf, and to accept the signature on this agreement as authorization for such charges to the same extent as if it were on a withdrawal slip or credit card sales draft.  If any 2 installments remain unpaid past their due dates 
13;1;DEFAULT 2;If any installment remains unpaid past its due date 
14;1;DEFAULT 3;" (a ""default""), the entire balance owing under this agreement shall be immediately due and payable, along with the costs of collection and reasonable attorney's fees.  In the event of a default, TSMMA is hereby authorized to charge the full outstanding balance due (including attorney's fees and costs of collection) to the credit card or bank account furnished to TSMMA hereunder.  "
15;1;PROTECTIVE GEAR;Tuition charges do not include required protective gear, which must be purchased prior to participation in class.  
16;1;CUBS 1;TSMMA hereby enrolls the Student in its TS CUBS program, which shall commence upon the signing of this agreement and expire on 
17;1;CUBS 2;consisting of 1 class per week in accordance with TSMMA's TS CUBS curriculum.  The program purchased under this agreement is a non-severable course of instruction.  Student acknowledges that TSMMA has been specifically induced into enrolling him/her by his/her promise to attend and pay for the full term of this agreement.  Student further acknowledges that TSMMA would not enter into this agreement with him/her in the absence of such a promise. 
20;1;CUBS NOT CT;Student has been informed that TSMMA has refrained from offering instruction to another person because it is limited to the number of students it may instruct by space and staffing restrictions.  
21;1;GYM ONLY 1;TSMMA shall provide Student with use of gym facilities which shall commence upon the signing of this agreement and expire on 
22;1;HQ TRAINING 1;TSMMA shall provide a program of martial arts instruction to Student which shall commence upon the signing of this agreement and expire on 
23;1;HQ TRAINING 2; consisting of up to 2 classes per week in accordance with TSMMA's curriculum.
24;1;DEFAULT 4;TSMMA shall provide a program of martial arts instruction to Student consisting of instruction for a term of 
25;1;DEFAULT 5;months from the date of this agreement in accordance with TSMMA's standard curriculum.  The martial arts program purchased under this agreement is a non-severable course of instruction which includes all testing, promotion, and belt fees except for Black Belt or any degree of Black Belt.  There is a one-time test fee for each degree of Black Belt.  The current fee is $495.00 (subject to increases of not more than ten percent per annum.)  Student acknowledges that TSMMA has been specifically induced into enrolling him/her by his/her promise to attend and pay for the full term of this agreement.  Student further acknowledges that TSMMA would not enter into this agreement with him/her in the absence of such a promise.  
26;1;DEFAULT NOT CT;Student has been informed that TSMMA has refrained from offering instruction to another person because it is limited to the number of students it may instruct by space and staffing restrictions.  
27;1;DEFAULT 6;Therefore, Student agrees to pay all sums due under this agreement whether or not he/she attends any or all of the classes purchased.
28;1;NY CT DEFAULT;Student's membership shall remain in effect for the period stated above, and shall automatically renew on a month-to-month basis, unless either party provides thirty (30) days notice of cancellation to the other.
29;1;NY CT CONVERSION;Student acknowledges that any applicable conversion discount is only valid for the initial term.  Upon renewal the monthly fee shall change to the prevailing rate.
30;1;NY CT NOT CONVERSION;UPON THE EXPIRATION OF THIS AGREEMENT, MONTH-TO-MONTH TUITION MAY INCREASE BY UP TO 10%.
31;1;DEFAULT 7;Student's membership shall remain in effect for the period stated above, and shall automatically renew for successive one year periods at the prevailing monthly rate, unless either party provides notice of cancellation to the other.  Such notice must be given at least sixty (60) days prior to the end of the contract term.
32;1;DEFAULT CONVERSION;Student acknowledges that any applicable conversion discount is only valid for the initial term.  Upon renewal the monthly fee shall change to the prevailing rate.
33;1;CT REFUND 1;The tuition set forth above is for an entire course of pre-arranged instruction and is non-refundable, except that this agreement may be cancelled 
34;1;CT REFUND 2;by either party for any reason within 30 days of the date hereof, and may also be cancelled 
35;1;CT REFUND 3;as provided below.  Any refunds due upon cancellation shall be calculated with the student being charged the regular non-discounted monthly tuition fee for all months that have elapsed from the commencement of this membership to the date of cancellation.  For cancellations before midnight of the third business day after this date, there shall be a full refund. 
